PlayerName,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Pace,DEff,DvP,L2FGA,L5FGA,SFGA,L2Min,L5Min,SMin,L5FP,SFP,Floor,Ceil,ProjMin,ProjFP,ProjVal,Min,FP,Value
Malcolm Delaney,NA,None,PG/SG,3300,ATL,MIA,2,102,15,8,98,104,-7,4,3,5,11,10,18,7.1,11.5,5.3,17.7,0,0,0,24.8,16.3,4.9
Isaiah Taylor,NA,None,PG,3300,ATL,MIA,2,102,19,11,98,104,-7,2,3,5,12,14,17,11.2,12.5,5.8,19.2,15,10.3,3.1,8.9,4,1.2
Juancho Hernangomez,NA,None,SF/PF,3300,DEN,@OKC,2,103,13,10,98,101,2,2,3,3,9,11,14,7.8,8.8,1.6,16,0,0,0,0,0,0
Quinn Cook,NA,None,PG,3300,GSW,@LAL,3,112,NA,NA,105,103,9,2,4,3,9,14,11,10.4,7.8,1.7,13.8,18.5,14.6,4.4,4.9,0,0
Al Jefferson,NA,None,PF/C,3300,IND,BOS,0,102,NA,NA,98,101,-4,8,7,6,17,15,15,18.8,18.4,10.3,26.6,0,0,0,4,3.3,1
Ron Baker,NA,None,PG/SG,3300,NYK,@CHA,1,99,NA,NA,101,104,2,5,4,3,18,20,15,15.4,11.7,4.7,18.8,18.5,12.9,3.9,19.3,14.5,4.4
Paul Zipser,NA,None,SG/SF,3300,CHI,PHI,2,104,16,4,103,104,4,2,3,5,12,14,17,7,10.5,3.8,17.3,10.5,6.7,2,10.3,2,0.6
Isaiah Canaan,2,None,PG/SG,3300,PHO,@DAL,1,101,NA,NA,97,106,1,3,3,3,15,15,15,15.8,15.8,-4.8,36.3,20,11.9,3.6,26.6,37,11.2
Timothe Luwawu-Cabarrot,NA,None,SG/SF,3200,PHI,@CHI,2,106,18,7,99,107,0,6,5,6,21,19,17,7.3,10.8,5.9,15.8,0,0,0,18.9,18.3,5.7
Caleb Swanigan,NA,None,PF,3200,POR,@MIN,1,102,NA,NA,98,108,-6,1,1,3,2,4,9,2.7,7.6,0.1,15.1,0,0,0,0,0,0
Dwayne Bacon,NA,None,SG/SF,3200,CHA,NYK,1,107,12,5,99,105,3,2,2,4,5,9,17,4,9.6,2.1,17.1,0,0,0,2.1,2,0.6
Miles Plumlee,NA,None,C,3200,ATL,MIA,2,102,NA,NA,98,104,-1,2,3,3,22,18,16,10.7,10.1,3,17.2,21,14.5,4.5,23.4,15,4.7
Lance Thomas,NA,None,SF/PF,3200,NYK,@CHA,1,99,12,7,101,104,5,4,3,4,25,24,17,9.2,8.8,4,13.6,25,14.1,4.4,24.1,14.5,4.5
Jordan Mickey,15,None,PF/C,3200,MIA,@ATL,1,100,NA,NA,100,108,8,6,3,3,21,11,11,11.6,11.4,2.5,20.3,28,23.6,7.4,23.8,25,7.8
Bobby Brown,NA,None,PG,3100,HOU,UTA,1,115,NA,NA,97,102,2,3,2,3,3,2,6,2.1,4.3,-1.1,9.6,0,0,0,0,0,0
Ramon Sessions,NA,None,PG,3100,NYK,@CHA,1,99,NA,NA,101,104,3,5,5,5,9,12,15,8.9,11.4,2.7,20.1,0,0,0,6.7,2,0.6
Antonio Blakeney,NA,None,PG,3100,CHI,PHI,2,104,NA,NA,103,104,4,3,7,7,9,13,15,9.7,10.7,4.4,17,0,0,0,0,0,0
Raymond Felton,1,None,PG/SG,3100,OKC,DEN,1,108,20,14,100,107,5,9,8,7,17,17,17,16,14.1,8.3,19.9,15.5,13.1,4.2,16.9,9,2.9
Matt Costello,NA,None,PF,3000,SAS,LAC,1,106,NA,NA,99,107,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sindarius Thornwell,NA,None,SG,3000,LAC,@SAS,1,94,12,6,96,102,-6,2,2,3,17,17,16,8.8,8.3,2.8,13.9,18.5,10.1,3.4,16.4,16.5,5.5
Salah Mejri,NA,None,C,3000,DAL,PHO,1,108,10,19,104,109,2,2,1,2,7,5,11,4.3,11.7,2.4,20.9,0,0,0,10.1,7.5,2.5
